HospitalPosition,Resident,HospitalsRank,ResidentsRank,MatchQuality
hosp008_pos6,res263,26,3,21
hosp008_pos6,res287,27,1,22
hosp008_pos6,res136,28,3,20
hosp008_pos6,res170,29,2,20
hosp008_pos6,res155,30,6,18
hosp008_pos6,res052,31,6,17
hosp008_pos6,res103,32,4,18
hosp008_pos6,res189,34,11,13
hosp008_pos6,res135,35,6,15
hosp008_pos6,res125,36,3,16
hosp008_pos6,res056,37,4,15
hosp008_pos6,res206,38,7,13
hosp008_pos6,res138,39,5,14
hosp008_pos7,res123,1,4,29
hosp008_pos7,res277,2,3,30
hosp008_pos7,res198,3,3,29
hosp008_pos7,res173,4,6,27
hosp008_pos7,res292,5,2,30
hosp008_pos7,res215,6,10,22
hosp008_pos7,res075,7,3,28
hosp008_pos7,res110,8,3,28
hosp008_pos7,res286,9,2,28
hosp008_pos7,res064,10,5,26
hosp008_pos7,res239,11,5,25
hosp008_pos7,res091,12,3,26
hosp008_pos7,res098,13,5,25
hosp008_pos7,res023,14,4,25
hosp008_pos7,res115,15,6,23
hosp008_pos7,res097,16,4,24
hosp008_pos7,res116,17,8,21
hosp008_pos7,res082,18,4,24
hosp008_pos7,res048,19,3,24
hosp008_pos7,res310,20,6,22
hosp008_pos7,res046,21,2,24
hosp008_pos7,res196,22,3,23
hosp008_pos7,res148,23,1,24
hosp008_pos7,res020,24,1,23
hosp008_pos7,res145,25,4,21
hosp008_pos7,res263,26,3,21
hosp008_pos7,res287,27,1,22
hosp008_pos7,res136,28,3,20
hosp008_pos7,res170,29,2,20
hosp008_pos7,res155,30,6,18
hosp008_pos7,res052,31,6,17
hosp008_pos7,res103,32,4,18
hosp008_pos7,res189,34,11,13
hosp008_pos7,res135,35,6,15
hosp008_pos7,res125,36,3,16
hosp008_pos7,res056,37,4,15
hosp008_pos7,res206,38,7,13
hosp008_pos7,res138,39,5,14
hosp008_pos8,res123,1,4,29
hosp008_pos8,res277,2,3,30
hosp008_pos8,res198,3,3,29
hosp008_pos8,res173,4,6,27
hosp008_pos8,res292,5,2,30
hosp008_pos8,res215,6,10,22
hosp008_pos8,res075,7,3,28
hosp008_pos8,res110,8,3,28
hosp008_pos8,res286,9,2,28
hosp008_pos8,res064,10,5,26
hosp008_pos8,res239,11,5,25
hosp008_pos8,res091,12,3,26
hosp008_pos8,res098,13,5,25
hosp008_pos8,res023,14,4,25
hosp008_pos8,res115,15,6,23
hosp008_pos8,res097,16,4,24
hosp008_pos8,res116,17,8,21
hosp008_pos8,res082,18,4,24
hosp008_pos8,res048,19,3,24
hosp008_pos8,res310,20,6,22
hosp008_pos8,res046,21,2,24
hosp008_pos8,res196,22,3,23
hosp008_pos8,res148,23,1,24
hosp008_pos8,res020,24,1,23
hosp008_pos8,res145,25,4,21
hosp008_pos8,res263,26,3,21
hosp008_pos8,res287,27,1,22
hosp008_pos8,res136,28,3,20
hosp008_pos8,res170,29,2,20
hosp008_pos8,res155,30,6,18
hosp008_pos8,res052,31,6,17
hosp008_pos8,res103,32,4,18
hosp008_pos8,res189,34,11,13
hosp008_pos8,res135,35,6,15
hosp008_pos8,res125,36,3,16
hosp008_pos8,res056,37,4,15
hosp008_pos8,res206,38,7,13
hosp008_pos8,res138,39,5,14
hosp008_pos9,res123,1,4,29
hosp008_pos9,res277,2,3,30
hosp008_pos9,res198,3,3,29
hosp008_pos9,res173,4,6,27
hosp008_pos9,res292,5,2,30
hosp008_pos9,res215,6,10,22
hosp008_pos9,res075,7,3,28
hosp008_pos9,res110,8,3,28
hosp008_pos9,res286,9,2,28
hosp008_pos9,res064,10,5,26
hosp008_pos9,res239,11,5,25
hosp008_pos9,res091,12,3,26
hosp008_pos9,res098,13,5,25
hosp008_pos9,res023,14,4,25
hosp008_pos9,res115,15,6,23
hosp008_pos9,res097,16,4,24
hosp008_pos9,res116,17,8,21
hosp008_pos9,res082,18,4,24
hosp008_pos9,res048,19,3,24
hosp008_pos9,res310,20,6,22
hosp008_pos9,res046,21,2,24
hosp008_pos9,res196,22,3,23
hosp008_pos9,res148,23,1,24
hosp008_pos9,res020,24,1,23
hosp008_pos9,res145,25,4,21
hosp008_pos9,res263,26,3,21
hosp008_pos9,res287,27,1,22
hosp008_pos9,res136,28,3,20
hosp008_pos9,res170,29,2,20
hosp008_pos9,res155,30,6,18
hosp008_pos9,res052,31,6,17
hosp008_pos9,res103,32,4,18
hosp008_pos9,res189,34,11,13
hosp008_pos9,res135,35,6,15
hosp008_pos9,res125,36,3,16
hosp008_pos9,res056,37,4,15
hosp008_pos9,res206,38,7,13
hosp008_pos9,res138,39,5,14
hosp010_pos1,res264,1,3,30
hosp010_pos1,res210,2,7,26
hosp010_pos1,res162,3,5,28
hosp010_pos1,res257,4,4,28
hosp010_pos1,res188,5,10,22
hosp010_pos1,res228,6,6,26
hosp010_pos1,res161,7,11,21
hosp010_pos1,res226,8,9,23
hosp010_pos1,res142,10,9,22
hosp010_pos1,res191,11,11,20
hosp010_pos1,res167,12,7,23
hosp010_pos1,res230,13,1,28
hosp010_pos1,res129,14,1,27
hosp010_pos1,res247,15,5,24
hosp010_pos1,res002,16,9,20
hosp010_pos1,res075,17,1,26
hosp010_pos1,res254,18,9,20
hosp010_pos1,res223,19,1,25
hosp010_pos1,res196,20,7,21
hosp010_pos1,res136,22,10,18
hosp010_pos1,res147,23,5,21
hosp010_pos1,res218,25,12,15
hosp010_pos1,res120,26,6,19
hosp010_pos1,res085,27,4,20
hosp010_pos1,res285,28,10,16
hosp010_pos1,res123,29,3,20
hosp010_pos1,res137,30,4,19
hosp010_pos2,res264,1,3,30
hosp010_pos2,res210,2,7,26
hosp010_pos2,res162,3,5,28
hosp010_pos2,res257,4,4,28
hosp010_pos2,res188,5,10,22
hosp010_pos2,res228,6,6,26
hosp010_pos2,res161,7,11,21
hosp010_pos2,res226,8,9,23
hosp010_pos2,res142,10,9,22
hosp010_pos2,res191,11,11,20
hosp010_pos2,res167,12,7,23
hosp010_pos2,res230,13,1,28
hosp010_pos2,res129,14,1,27
hosp010_pos2,res247,15,5,24
hosp010_pos2,res002,16,9,20
hosp010_pos2,res075,17,1,26
hosp010_pos2,res254,18,9,20
hosp010_pos2,res223,19,1,25
hosp010_pos2,res196,20,7,21
hosp010_pos2,res136,22,10,18
hosp010_pos2,res147,23,5,21
hosp010_pos2,res218,25,12,15
hosp010_pos2,res120,26,6,19
hosp010_pos2,res085,27,4,20
hosp010_pos2,res285,28,10,16
hosp010_pos2,res123,29,3,20
hosp010_pos2,res137,30,4,19
hosp010_pos3,res264,1,3,30
hosp010_pos3,res210,2,7,26
hosp010_pos3,res162,3,5,28
hosp010_pos3,res257,4,4,28
hosp010_pos3,res188,5,10,22
hosp010_pos3,res228,6,6,26
hosp010_pos3,res161,7,11,21
hosp010_pos3,res226,8,9,23
hosp010_pos3,res142,10,9,22
hosp010_pos3,res191,11,11,20
hosp010_pos3,res167,12,7,23
hosp010_pos3,res230,13,1,28
hosp010_pos3,res129,14,1,27
hosp010_pos3,res247,15,5,24
hosp010_pos3,res002,16,9,20
hosp010_pos3,res075,17,1,26
hosp010_pos3,res254,18,9,20
hosp010_pos3,res223,19,1,25
hosp010_pos3,res196,20,7,21
hosp010_pos3,res136,22,10,18
hosp010_pos3,res147,23,5,21
hosp010_pos3,res218,25,12,15
hosp010_pos3,res120,26,6,19
hosp010_pos3,res085,27,4,20
hosp010_pos3,res285,28,10,16
hosp010_pos3,res123,29,3,20
hosp010_pos3,res137,30,4,19
hosp011_pos1,res232,1,14,19
hosp011_pos2,res232,1,14,19
hosp011_pos3,res232,1,14,19
hosp011_pos4,res232,1,14,19
hosp011_pos5,res232,1,14,19
hosp011_pos6,res232,1,14,19
hosp011_pos7,res232,1,14,19
hosp011_pos8,res232,1,14,19
hosp011_pos9,res232,1,14,19
hosp012_pos1,res016,23,12,16
hosp012_pos2,res016,23,12,16
hosp012_pos3,res016,23,12,16
hosp012_pos4,res016,23,12,16
hosp012_pos5,res016,23,12,16
hosp012_pos6,res016,23,12,16
hosp014_pos1,res019,2,6,27
hosp014_pos1,res267,7,8,24
hosp014_pos1,res156,8,10,22
hosp014_pos1,res192,9,11,20
hosp014_pos1,res147,12,8,23
hosp014_pos1,res017,22,10,18
hosp014_pos1,res098,32,11,14
hosp014_pos2,res019,2,6,27
hosp014_pos2,res267,7,8,24
hosp014_pos2,res156,8,10,22
hosp014_pos2,res192,9,11,20
hosp014_pos2,res147,12,8,23
hosp014_pos2,res017,22,10,18
hosp014_pos2,res098,32,11,14
hosp014_pos3,res019,2,6,27
hosp014_pos3,res267,7,8,24
hosp014_pos3,res156,8,10,22
hosp014_pos3,res192,9,11,20
hosp014_pos3,res147,12,8,23
hosp014_pos3,res017,22,10,18
hosp014_pos3,res098,32,11,14
hosp014_pos4,res019,2,6,27
hosp014_pos4,res267,7,8,24
hosp014_pos4,res156,8,10,22
hosp014_pos4,res192,9,11,20
hosp014_pos4,res147,12,8,23
hosp014_pos4,res017,22,10,18
hosp014_pos4,res098,32,11,14
hosp014_pos5,res019,2,6,27
hosp014_pos5,res267,7,8,24
hosp014_pos5,res156,8,10,22
hosp014_pos5,res192,9,11,20
hosp014_pos5,res147,12,8,23
hosp014_pos5,res017,22,10,18
hosp014_pos5,res098,32,11,14
hosp014_pos6,res019,2,6,27
hosp014_pos6,res267,7,8,24
hosp014_pos6,res156,8,10,22
hosp014_pos6,res192,9,11,20
hosp014_pos6,res147,12,8,23
hosp014_pos6,res017,22,10,18
hosp014_pos6,res098,32,11,14
hosp014_pos7,res019,2,6,27
hosp014_pos7,res267,7,8,24
hosp014_pos7,res156,8,10,22
hosp014_pos7,res192,9,11,20
hosp014_pos7,res147,12,8,23
hosp014_pos7,res017,22,10,18
hosp014_pos7,res098,32,11,14
hosp014_pos8,res019,2,6,27
hosp014_pos8,res267,7,8,24
hosp014_pos8,res156,8,10,22
hosp014_pos8,res192,9,11,20
hosp014_pos8,res147,12,8,23
hosp014_pos8,res017,22,10,18
hosp014_pos8,res098,32,11,14
hosp014_pos9,res019,2,6,27
hosp014_pos9,res267,7,8,24
hosp014_pos9,res156,8,10,22
hosp014_pos9,res192,9,11,20
hosp014_pos9,res147,12,8,23
hosp014_pos9,res017,22,10,18
hosp014_pos9,res098,32,11,14
hosp016_pos1,res129,2,10,23
hosp016_pos1,res009,9,12,19
hosp016_pos1,res213,11,9,22
hosp016_pos1,res110,15,8,22
hosp016_pos1,res284,18,9,20
hosp016_pos1,res031,22,15,13
hosp016_pos1,res268,24,10,17
hosp016_pos2,res129,2,10,23
hosp016_pos2,res009,9,12,19
hosp016_pos2,res213,11,9,22
hosp016_pos2,res110,15,8,22
hosp016_pos2,res284,18,9,20
hosp016_pos2,res031,22,15,13
hosp016_pos2,res268,24,10,17
hosp016_pos3,res129,2,10,23
hosp016_pos3,res009,9,12,19
hosp016_pos3,res213,11,9,22
hosp016_pos3,res110,15,8,22
hosp016_pos3,res284,18,9,20
hosp016_pos3,res031,22,15,13
hosp016_pos3,res268,24,10,17
hosp016_pos4,res129,2,10,23
hosp016_pos4,res009,9,12,19
hosp016_pos4,res213,11,9,22
hosp016_pos4,res110,15,8,22
hosp016_pos4,res284,18,9,20
hosp016_pos4,res031,22,15,13
hosp016_pos4,res268,24,10,17
hosp016_pos5,res129,2,10,23
hosp016_pos5,res009,9,12,19
hosp016_pos5,res213,11,9,22
hosp016_pos5,res110,15,8,22
hosp016_pos5,res284,18,9,20
hosp016_pos5,res031,22,15,13
hosp016_pos5,res268,24,10,17
hosp016_pos6,res129,2,10,23
hosp016_pos6,res009,9,12,19
hosp016_pos6,res213,11,9,22
hosp016_pos6,res110,15,8,22
hosp016_pos6,res284,18,9,20
hosp016_pos6,res031,22,15,13
hosp016_pos6,res268,24,10,17
hosp017_pos1,res049,1,8,25
hosp017_pos1,res104,2,6,27
hosp017_pos1,res160,3,4,29
hosp017_pos1,res238,4,8,25
hosp017_pos1,res129,5,11,21
hosp017_pos1,res028,6,11,21
hosp017_pos1,res189,7,2,29
hosp017_pos1,res024,8,2,29
hosp017_pos1,res116,9,2,28
hosp017_pos1,res142,10,7,24
hosp017_pos1,res046,11,4,26
hosp017_pos1,res031,12,6,24
hosp017_pos1,res282,13,7,23
hosp017_pos1,res304,14,5,24
hosp017_pos1,res082,15,6,23
hosp017_pos1,res260,16,5,24
hosp017_pos1,res288,17,5,23
hosp017_pos1,res249,18,6,22
hosp017_pos1,res158,19,4,23
hosp017_pos1,res097,20,7,21
hosp017_pos1,res149,21,1,24
hosp017_pos1,res206,22,6,21
hosp017_pos1,res148,23,2,23
hosp017_pos1,res235,24,9,18
hosp017_pos1,res022,25,5,20
hosp017_pos1,res013,26,7,19
hosp017_pos1,res119,27,2,21
hosp017_pos1,res018,28,3,20
hosp017_pos1,res027,29,5,19
hosp017_pos1,res090,30,3,19
hosp017_pos1,res186,31,3,19
hosp017_pos1,res051,32,3,18
hosp017_pos1,res301,33,6,16
hosp017_pos2,res049,1,8,25
hosp017_pos2,res104,2,6,27
hosp017_pos2,res160,3,4,29
hosp017_pos2,res238,4,8,25
hosp017_pos2,res129,5,11,21
hosp017_pos2,res028,6,11,21
hosp017_pos2,res189,7,2,29
hosp017_pos2,res024,8,2,29
hosp017_pos2,res116,9,2,28
hosp017_pos2,res142,10,7,24
hosp017_pos2,res046,11,4,26
hosp017_pos2,res031,12,6,24
hosp017_pos2,res282,13,7,23
hosp017_pos2,res304,14,5,24
hosp017_pos2,res082,15,6,23
hosp017_pos2,res260,16,5,24
hosp017_pos2,res288,17,5,23
hosp017_pos2,res249,18,6,22
hosp017_pos2,res158,19,4,23
hosp017_pos2,res097,20,7,21
hosp017_pos2,res149,21,1,24
hosp017_pos2,res206,22,6,21
hosp017_pos2,res148,23,2,23
hosp017_pos2,res235,24,9,18
hosp017_pos2,res022,25,5,20
hosp017_pos2,res013,26,7,19
hosp017_pos2,res119,27,2,21
hosp017_pos2,res018,28,3,20
hosp017_pos2,res027,29,5,19
hosp017_pos2,res090,30,3,19
hosp017_pos2,res186,31,3,19
hosp017_pos2,res051,32,3,18
hosp017_pos2,res301,33,6,16
hosp017_pos3,res049,1,8,25
hosp017_pos3,res104,2,6,27
hosp017_pos3,res160,3,4,29
hosp017_pos3,res238,4,8,25
hosp017_pos3,res129,5,11,21
hosp017_pos3,res028,6,11,21
hosp017_pos3,res189,7,2,29
hosp017_pos3,res024,8,2,29
hosp017_pos3,res116,9,2,28
hosp017_pos3,res142,10,7,24
hosp017_pos3,res046,11,4,26
hosp017_pos3,res031,12,6,24
hosp017_pos3,res282,13,7,23
hosp017_pos3,res304,14,5,24
hosp017_pos3,res082,15,6,23
hosp017_pos3,res260,16,5,24
hosp017_pos3,res288,17,5,23
hosp017_pos3,res249,18,6,22
hosp017_pos3,res158,19,4,23
hosp017_pos3,res097,20,7,21
hosp017_pos3,res149,21,1,24
hosp017_pos3,res206,22,6,21
hosp017_pos3,res148,23,2,23
hosp017_pos3,res235,24,9,18
hosp017_pos3,res022,25,5,20
hosp017_pos3,res013,26,7,19
hosp017_pos3,res119,27,2,21
hosp017_pos3,res018,28,3,20
hosp017_pos3,res027,29,5,19
hosp017_pos3,res090,30,3,19
hosp017_pos3,res186,31,3,19
hosp017_pos3,res051,32,3,18
hosp017_pos3,res301,33,6,16
hosp017_pos4,res049,1,8,25
hosp017_pos4,res104,2,6,27
hosp017_pos4,res160,3,4,29
hosp017_pos4,res238,4,8,25
hosp017_pos4,res129,5,11,21
hosp017_pos4,res028,6,11,21
hosp017_pos4,res189,7,2,29
hosp017_pos4,res024,8,2,29
hosp017_pos4,res116,9,2,28
hosp017_pos4,res142,10,7,24
hosp017_pos4,res046,11,4,26
hosp017_pos4,res031,12,6,24
hosp017_pos4,res282,13,7,23
hosp017_pos4,res304,14,5,24
hosp017_pos4,res082,15,6,23
hosp017_pos4,res260,16,5,24
hosp017_pos4,res288,17,5,23
hosp017_pos4,res249,18,6,22
hosp017_pos4,res158,19,4,23
hosp017_pos4,res097,20,7,21
hosp017_pos4,res149,21,1,24
hosp017_pos4,res206,22,6,21
hosp017_pos4,res148,23,2,23
hosp017_pos4,res235,24,9,18
hosp017_pos4,res022,25,5,20
hosp017_pos4,res013,26,7,19
hosp017_pos4,res119,27,2,21
hosp017_pos4,res018,28,3,20
hosp017_pos4,res027,29,5,19
hosp017_pos4,res090,30,3,19
hosp017_pos4,res186,31,3,19
hosp017_pos4,res051,32,3,18
hosp017_pos4,res301,33,6,16
hosp017_pos5,res049,1,8,25
hosp017_pos5,res104,2,6,27
hosp017_pos5,res160,3,4,29
hosp017_pos5,res238,4,8,25
hosp017_pos5,res129,5,11,21
hosp017_pos5,res028,6,11,21
hosp017_pos5,res189,7,2,29
hosp017_pos5,res024,8,2,29
hosp017_pos5,res116,9,2,28
hosp017_pos5,res142,10,7,24
hosp017_pos5,res046,11,4,26
hosp017_pos5,res031,12,6,24
hosp017_pos5,res282,13,7,23
hosp017_pos5,res304,14,5,24
hosp017_pos5,res082,15,6,23
hosp017_pos5,res260,16,5,24
hosp017_pos5,res288,17,5,23
hosp017_pos5,res249,18,6,22
hosp017_pos5,res158,19,4,23
hosp017_pos5,res097,20,7,21
hosp017_pos5,res149,21,1,24
hosp017_pos5,res206,22,6,21
hosp017_pos5,res148,23,2,23
hosp017_pos5,res235,24,9,18
hosp017_pos5,res022,25,5,20
hosp017_pos5,res013,26,7,19
hosp017_pos5,res119,27,2,21
hosp017_pos5,res018,28,3,20
hosp017_pos5,res027,29,5,19
hosp017_pos5,res090,30,3,19
hosp017_pos5,res186,31,3,19
hosp017_pos5,res051,32,3,18
hosp017_pos5,res301,33,6,16
hosp017_pos6,res049,1,8,25
hosp017_pos6,res104,2,6,27
hosp017_pos6,res160,3,4,29
hosp017_pos6,res238,4,8,25
hosp017_pos6,res129,5,11,21
hosp017_pos6,res028,6,11,21
hosp017_pos6,res189,7,2,29
hosp017_pos6,res024,8,2,29
hosp017_pos6,res116,9,2,28
hosp017_pos6,res142,10,7,24
hosp017_pos6,res046,11,4,26
hosp017_pos6,res031,12,6,24
hosp017_pos6,res282,13,7,23
hosp017_pos6,res304,14,5,24
hosp017_pos6,res082,15,6,23
hosp017_pos6,res260,16,5,24
hosp017_pos6,res288,17,5,23
hosp017_pos6,res249,18,6,22
hosp017_pos6,res158,19,4,23
hosp017_pos6,res097,20,7,21
hosp017_pos6,res149,21,1,24
hosp017_pos6,res206,22,6,21
hosp017_pos6,res148,23,2,23
hosp017_pos6,res235,24,9,18
hosp017_pos6,res022,25,5,20
hosp017_pos6,res013,26,7,19
hosp017_pos6,res119,27,2,21
hosp017_pos6,res018,28,3,20
hosp017_pos6,res027,29,5,19
hosp017_pos6,res090,30,3,19
hosp017_pos6,res186,31,3,19
hosp017_pos6,res051,32,3,18
hosp017_pos6,res301,33,6,16
hosp021_pos1,res254,3,14,18
hosp021_pos1,res011,15,7,22
hosp021_pos1,res136,24,11,16
hosp021_pos1,res115,30,13,13
hosp021_pos2,res254,3,14,18
hosp021_pos2,res011,15,7,22
hosp021_pos2,res136,24,11,16
hosp021_pos2,res115,30,13,13
hosp021_pos3,res254,3,14,18
hosp021_pos3,res011,15,7,22
hosp021_pos3,res136,24,11,16
hosp021_pos3,res115,30,13,13
hosp021_pos4,res254,3,14,18
hosp021_pos4,res011,15,7,22
hosp021_pos4,res136,24,11,16
hosp021_pos4,res115,30,13,13
hosp021_pos5,res254,3,14,18
hosp021_pos5,res011,15,7,22
hosp021_pos5,res136,24,11,16
hosp021_pos5,res115,30,13,13
hosp021_pos6,res254,3,14,18
hosp021_pos6,res011,15,7,22
hosp021_pos6,res136,24,11,16
hosp021_pos6,res115,30,13,13
hosp021_pos7,res254,3,14,18
hosp021_pos7,res011,15,7,22
hosp021_pos7,res136,24,11,16
hosp021_pos7,res115,30,13,13
hosp021_pos8,res254,3,14,18
hosp021_pos8,res011,15,7,22
hosp021_pos8,res136,24,11,16
hosp021_pos8,res115,30,13,13
hosp021_pos9,res254,3,14,18
hosp021_pos9,res011,15,7,22
hosp021_pos9,res136,24,11,16
hosp021_pos9,res115,30,13,13
hosp022_pos1,res157,8,11,21
hosp022_pos2,res157,8,11,21
hosp022_pos3,res157,8,11,21
hosp022_pos4,res157,8,11,21
hosp022_pos5,res157,8,11,21
hosp022_pos6,res157,8,11,21
hosp023_pos1,res282,8,12,20
hosp023_pos2,res282,8,12,20
hosp023_pos3,res282,8,12,20
hosp024_pos1,res193,1,13,20
hosp024_pos1,res143,2,11,22
hosp024_pos1,res295,3,3,29
hosp024_pos1,res093,4,8,25
hosp024_pos1,res047,5,6,26
hosp024_pos1,res118,6,1,30
hosp024_pos1,res267,7,4,27
hosp024_pos1,res153,8,1,29
hosp024_pos1,res204,9,4,27
hosp024_pos1,res221,10,5,26
hosp024_pos1,res307,11,3,27
hosp024_pos1,res076,13,5,25
hosp024_pos1,res291,14,3,26
hosp024_pos1,res018,15,4,25
hosp024_pos1,res075,16,4,24
hosp024_pos1,res145,17,7,22
hosp024_pos1,res254,18,6,22
hosp024_pos1,res192,19,9,20
hosp024_pos1,res083,20,3,24
hosp024_pos1,res040,21,2,24
hosp024_pos1,res197,22,6,21
hosp024_pos1,res067,23,5,21
hosp024_pos1,res022,24,4,21
hosp024_pos1,res292,25,7,19
hosp024_pos1,res274,26,7,19
hosp024_pos1,res257,27,6,19
hosp024_pos1,res013,28,4,20
hosp024_pos1,res170,29,1,21
hosp024_pos1,res064,30,6,18
hosp024_pos1,res053,31,2,19
hosp024_pos1,res126,32,5,17
hosp024_pos1,res008,33,7,16
hosp024_pos1,res203,34,1,18
hosp024_pos2,res193,1,13,20
hosp024_pos2,res143,2,11,22
hosp024_pos2,res295,3,3,29
hosp024_pos2,res093,4,8,25
hosp024_pos2,res047,5,6,26
hosp024_pos2,res118,6,1,30
hosp024_pos2,res267,7,4,27
hosp024_pos2,res153,8,1,29
hosp024_pos2,res204,9,4,27
hosp024_pos2,res221,10,5,26
hosp024_pos2,res307,11,3,27
hosp024_pos2,res076,13,5,25
hosp024_pos2,res291,14,3,26
hosp024_pos2,res018,15,4,25
hosp024_pos2,res075,16,4,24
hosp024_pos2,res145,17,7,22
hosp024_pos2,res254,18,6,22
hosp024_pos2,res192,19,9,20
hosp024_pos2,res083,20,3,24
hosp024_pos2,res040,21,2,24
hosp024_pos2,res197,22,6,21
hosp024_pos2,res067,23,5,21
hosp024_pos2,res022,24,4,21
hosp024_pos2,res292,25,7,19
hosp024_pos2,res274,26,7,19
hosp024_pos2,res257,27,6,19
hosp024_pos2,res013,28,4,20
hosp024_pos2,res170,29,1,21
hosp024_pos2,res064,30,6,18
hosp024_pos2,res053,31,2,19
hosp024_pos2,res126,32,5,17
hosp024_pos2,res008,33,7,16
hosp024_pos2,res203,34,1,18
hosp024_pos3,res193,1,13,20
hosp024_pos3,res143,2,11,22
hosp024_pos3,res295,3,3,29
hosp024_pos3,res093,4,8,25
hosp024_pos3,res047,5,6,26
hosp024_pos3,res118,6,1,30
hosp024_pos3,res267,7,4,27
hosp024_pos3,res153,8,1,29
hosp024_pos3,res204,9,4,27
hosp024_pos3,res221,10,5,26
hosp024_pos3,res307,11,3,27
hosp024_pos3,res076,13,5,25
hosp024_pos3,res291,14,3,26
hosp024_pos3,res018,15,4,25
hosp024_pos3,res075,16,4,24
hosp024_pos3,res145,17,7,22
hosp024_pos3,res254,18,6,22
hosp024_pos3,res192,19,9,20
hosp024_pos3,res083,20,3,24
hosp024_pos3,res040,21,2,24
hosp024_pos3,res197,22,6,21
hosp024_pos3,res067,23,5,21
hosp024_pos3,res022,24,4,21
hosp024_pos3,res292,25,7,19
hosp024_pos3,res274,26,7,19
hosp024_pos3,res257,27,6,19
hosp024_pos3,res013,28,4,20
hosp024_pos3,res170,29,1,21
hosp024_pos3,res064,30,6,18
hosp024_pos3,res053,31,2,19
hosp024_pos3,res126,32,5,17
hosp024_pos3,res008,33,7,16
hosp024_pos3,res203,34,1,18
hosp026_pos1,res105,1,13,20
hosp026_pos1,res291,10,17,13
hosp026_pos2,res105,1,13,20
hosp026_pos2,res291,10,17,13
hosp026_pos3,res105,1,13,20
hosp026_pos3,res291,10,17,13
hosp026_pos4,res105,1,13,20
hosp026_pos4,res291,10,17,13
hosp026_pos5,res105,1,13,20
hosp026_pos5,res291,10,17,13
hosp026_pos6,res105,1,13,20
hosp026_pos6,res291,10,17,13
hosp026_pos7,res105,1,13,20
hosp026_pos7,res291,10,17,13
hosp026_pos8,res105,1,13,20
hosp026_pos8,res291,10,17,13
hosp026_pos9,res105,1,13,20
hosp026_pos9,res291,10,17,13
hosp030_pos1,res142,30,12,14
hosp030_pos2,res142,30,12,14
hosp030_pos3,res142,30,12,14
hosp030_pos4,res142,30,12,14
hosp030_pos5,res142,30,12,14
hosp030_pos6,res142,30,12,14
hosp032_pos1,res226,14,14,16
hosp032_pos2,res226,14,14,16
hosp032_pos3,res226,14,14,16
hosp032_pos4,res226,14,14,16
hosp032_pos5,res226,14,14,16
hosp032_pos6,res226,14,14,16
hosp032_pos7,res226,14,14,16
hosp032_pos8,res226,14,14,16
hosp032_pos9,res226,14,14,16
hosp035_pos1,res046,1,11,22
hosp035_pos1,res214,11,16,14
hosp035_pos1,res280,14,12,18
hosp035_pos1,res064,26,11,16
hosp035_pos1,res178,32,12,13
hosp035_pos2,res046,1,11,22
hosp035_pos2,res214,11,16,14
hosp035_pos2,res280,14,12,18
hosp035_pos2,res064,26,11,16
hosp035_pos2,res178,32,12,13
hosp035_pos3,res046,1,11,22
hosp035_pos3,res214,11,16,14
hosp035_pos3,res280,14,12,18
hosp035_pos3,res064,26,11,16
hosp035_pos3,res178,32,12,13
hosp035_pos4,res046,1,11,22
hosp035_pos4,res214,11,16,14
hosp035_pos4,res280,14,12,18
hosp035_pos4,res064,26,11,16
hosp035_pos4,res178,32,12,13
hosp035_pos5,res046,1,11,22
hosp035_pos5,res214,11,16,14
hosp035_pos5,res280,14,12,18
hosp035_pos5,res064,26,11,16
hosp035_pos5,res178,32,12,13
hosp035_pos6,res046,1,11,22
hosp035_pos6,res214,11,16,14
hosp035_pos6,res280,14,12,18
hosp035_pos6,res064,26,11,16
hosp035_pos6,res178,32,12,13
hosp035_pos7,res046,1,11,22
hosp035_pos7,res214,11,16,14
hosp035_pos7,res280,14,12,18
hosp035_pos7,res064,26,11,16
hosp035_pos7,res178,32,12,13
hosp035_pos8,res046,1,11,22
hosp035_pos8,res214,11,16,14
hosp035_pos8,res280,14,12,18
hosp035_pos8,res064,26,11,16
hosp035_pos8,res178,32,12,13
hosp035_pos9,res046,1,11,22
hosp035_pos9,res214,11,16,14
hosp035_pos9,res280,14,12,18
hosp035_pos9,res064,26,11,16
hosp035_pos9,res178,32,12,13
hosp037_pos1,res046,1,8,25
hosp037_pos1,res164,2,7,26
hosp037_pos1,res116,4,3,29
hosp037_pos1,res126,5,7,25
hosp037_pos1,res207,6,7,25
hosp037_pos1,res048,7,12,20
hosp037_pos1,res170,8,7,25
hosp037_pos1,res125,9,2,28
hosp037_pos1,res139,11,8,23
hosp037_pos1,res020,13,7,23
hosp037_pos1,res243,14,9,21
hosp037_pos1,res027,15,4,25
hosp037_pos1,res195,16,4,24
hosp037_pos1,res261,18,5,23
hosp037_pos1,res092,19,8,20
hosp037_pos1,res010,21,5,22
hosp037_pos1,res129,22,4,22
hosp037_pos1,res184,24,8,19
hosp037_pos1,res203,26,7,19
hosp037_pos1,res263,27,2,21
hosp037_pos2,res046,1,8,25
hosp037_pos2,res164,2,7,26
hosp037_pos2,res116,4,3,29
hosp037_pos2,res126,5,7,25
hosp037_pos2,res207,6,7,25
hosp037_pos2,res048,7,12,20
hosp037_pos2,res170,8,7,25
